,id,title,prefix,ocr_url
0,mc00456-001-bx0004-004-001,"""In at the death"": Freeman on cruelty in sport",mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0004-004-001/mc00456-001-bx0004-004-001.txt
1,mc00344_118824_20200131_1256,"""Some Uses of Laboratory Animals""",mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00344_118824_20200131_1256/mc00344_118824_20200131_1256.txt
2,mc00456-001-bx0006-034-001,"""The Times"" article on the results of experiments on living animals",mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0006-034-001/mc00456-001-bx0006-034-001.txt
3,mc00456-001-bx0007-013-001,A bill for the abolition of vivisection,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0007-013-001/mc00456-001-bx0007-013-001.txt
4,mc00456-001-bx0002-009-001,A call for more helpers,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0002-009-001/mc00456-001-bx0002-009-001.txt
5,mc00456-001-bx0002-023-001,A concise handbook on cruel sports,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0002-023-001/mc00456-001-bx0002-023-001.txt
6,mc00456-001-bx0002-024-001,"A correspondence in ""The Daily Mail"" between Sir Victor Horsely and Dr. Walter R. Hadwen on vivisection, September 1908",mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0002-024-001/mc00456-001-bx0002-024-001.txt
7,mc00620-001-bx0001-034-001,A dangerous ideal,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00620-001-bx0001-034-001/mc00620-001-bx0001-034-001.txt
8,mc00456-001-bx0002-042-001,"A debate on is vivisection immoral, cruel, useless and unscientific?",mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0002-042-001/mc00456-001-bx0002-042-001.txt
9,mc00456-001-bx0002-043-001,A debate on should vivisection be abolished?,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0002-043-001/mc00456-001-bx0002-043-001.txt
10,mc00620-001-bx0001-063-001,A letter to children,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00620-001-bx0001-063-001/mc00620-001-bx0001-063-001.txt
11,mc00620-001-bx0001-064-001,A little mourner never forgotten,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00620-001-bx0001-064-001/mc00620-001-bx0001-064-001.txt
12,mc00456-001-bx0004-035-001,A mean and barbarous insurance against the possibility of damage,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0004-035-001/mc00456-001-bx0004-035-001.txt
13,mc00620-001-bx0001-071-001,A message to every child - from every animal,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00620-001-bx0001-071-001/mc00620-001-bx0001-071-001.txt
14,mc00620-001-hb0002-019-005,A message to every child--from every animal,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00620-001-hb0002-019-005/mc00620-001-hb0002-019-005.txt
15,mc00620-001-bx0001-081-001,A plea for the helpless,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00620-001-bx0001-081-001/mc00620-001-bx0001-081-001.txt
16,mc00456-001-bx0005-034-001,"A reply to an article by Rev. L. Wallace in the Westminster Review, March, 1892",mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0005-034-001/mc00456-001-bx0005-034-001.txt
17,mc00456-001-bx0005-035-001,"A reply to Professor Schafer on the subject of ""the origin of life""",mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0005-035-001/mc00456-001-bx0005-035-001.txt
18,mc00456-001-bx0005-040-001,A review and refutation of the principal claims made on behalf of vivisection research,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0005-040-001/mc00456-001-bx0005-040-001.txt
19,mc00456-001-bx0006-011-001,A savage sport: the case against coursing,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0006-011-001/mc00456-001-bx0006-011-001.txt
20,mc00620-001-bx0001-089-001,"A school program for ""Be Kind to Animals Anniversary"" week (occurring annually in April) and for general use, for grades 4, 5 & 6",mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00620-001-bx0001-089-001/mc00620-001-bx0001-089-001.txt
21,mc00456-001-bx0006-017-001,"A shameless perversion of a great public bequest: being a statement, legal, medical and moral, of the facts concerning the Brown Institution",mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0006-017-001/mc00456-001-bx0006-017-001.txt
22,mc00456-001-bx0007-022-001,A vivisection controversy,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0007-022-001/mc00456-001-bx0007-022-001.txt
23,mc00456-001-bx0007-047-001,"A wrong method, being two letters on experimentation on living animals",mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0007-047-001/mc00456-001-bx0007-047-001.txt
24,mc00456-001-bx0001-006-001,A-hunting we will go (Three variations on an old theme),mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0001-006-001/mc00456-001-bx0001-006-001.txt
25,mc00620-001-bx0001-001-001,Adamantine hearts,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00620-001-bx0001-001-001/mc00620-001-bx0001-001-001.txt
26,mc00620-001-bx0001-002-001,Address to the Boston Public Schools in the winter of 1885 and 1886,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00620-001-bx0001-002-001/mc00620-001-bx0001-002-001.txt
27,mc00620-001-bx0001-003-001,Advent,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00620-001-bx0001-003-001/mc00620-001-bx0001-003-001.txt
28,mc00620-001-hb0002-019-012,Advent,mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00620-001-hb0002-019-012/mc00620-001-hb0002-019-012.txt
29,mc00456-001-bx0005-019-001,"Advertisement and order form for Fougasse's ""The Neighbours""",mc,https://ocr.lib.ncsu.edu/ocr/mc/mc00456-001-bx0005-019-001/mc00456-001-bx0005-019-001.txt
