,source_id,topic-0,topic-1,topic-2,topic-3,topic-4,topic-5,topic-6,topic-7,topic-8,topic-9,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25,topic-26,topic-27,topic-28,topic-29,topic-30,topic-31,topic-32,topic-33,topic-34,topic-35,topic-36,topic-37,topic-38,topic-39
mc00456-001-bx0004-043-001,mc00456-001-bx0004-043-001,8.876166975824162e-05,8.876166975824162e-05,0.7896407842636108,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,0.01143193244934082,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,0.1517341136932373,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,8.876166975824162e-05,0.036521054804325104,8.876166975824162e-05,8.876166975824162e-05,0.007565437816083431,8.876166975824162e-05
mc00456-001-bx0004-053-001,mc00456-001-bx0004-053-001,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,0.9999468326568604,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06,1.3634753486257978e-06
mc00344-001-lb0001_26-002-000,mc00344-001-lb0001_26-002-000,6.374590384439216e-07,6.374590384439216e-07,0.01300915889441967,6.374590384439216e-07,0.0012919226428493857,6.374590384439216e-07,6.374590384439216e-07,0.012733940966427326,0.505211591720581,0.04290248081088066,0.0015308076981455088,0.00011940734111703932,6.374590384439216e-07,0.022264545783400536,0.0016331204678863287,6.374590384439216e-07,0.18466424942016602,6.374590384439216e-07,6.374590384439216e-07,6.374590384439216e-07,6.374590384439216e-07,6.374590384439216e-07,0.013910802081227303,6.374590384439216e-07,6.374590384439216e-07,0.016149239614605904,0.07489941269159317,6.374590384439216e-07,6.374590384439216e-07,0.0003651970182545483,6.374590384439216e-07,0.0008099603583104908,6.374590384439216e-07,0.00681171054020524,0.0591319315135479,0.0243526678532362,6.374590384439216e-07,6.374590384439216e-07,0.0029825277160853148,0.015212593600153923
mc00456-001-bx0007-015-001,mc00456-001-bx0007-015-001,2.4343067707377486e-05,2.4343067707377486e-05,0.9740507006645203,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,0.020011648535728455,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,0.002417335519567132,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,2.4343067707377486e-05,0.002644013613462448,2.4343067707377486e-05
mc00456-001-bx0007-005-001,mc00456-001-bx0007-005-001,1.9790659280261025e-05,1.9790659280261025e-05,0.7344215512275696,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,0.011702668853104115,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,0.07903242856264114,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,0.1270754486322403,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,0.04707527533173561,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05,1.9790659280261025e-05
mc00344-001-bx0001_35-003-000,mc00344-001-bx0001_35-003-000,0.010708627291023731,1.0743287930381484e-06,0.01613074541091919,1.0743287930381484e-06,1.0743287930381484e-06,0.0028643133118748665,1.0743287930381484e-06,0.018705761060118675,0.004787950776517391,0.26722395420074463,1.0743287930381484e-06,0.0013115258188918233,1.0743287930381484e-06,0.004386924672871828,1.0743287930381484e-06,1.0743287930381484e-06,0.0992312878370285,1.0743287930381484e-06,1.0743287930381484e-06,6.810893682995811e-05,1.0743287930381484e-06,1.0743287930381484e-06,1.0743287930381484e-06,0.0009352646302431822,1.0743287930381484e-06,0.03284256532788277,0.32451698184013367,1.0743287930381484e-06,1.0743287930381484e-06,0.0011826623231172562,1.0743287930381484e-06,0.02391081303358078,1.0743287930381484e-06,0.11050297319889069,0.014250042848289013,0.005450977478176355,0.0020056015346199274,1.0743287930381484e-06,0.010882986709475517,0.048079513013362885
mc00344-001-bx0001_38-004-000,mc00344-001-bx0001_38-004-000,5.141972906130832e-06,5.141972906130832e-06,0.049089882522821426,0.003961785230785608,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,0.3170570135116577,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,0.003243903163820505,5.141972906130832e-06,5.141972906130832e-06,0.021097440272569656,0.3633894622325897,5.141972906130832e-06,5.141972906130832e-06,0.002430215012282133,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,0.06746723502874374,0.1721036434173584,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06,5.141972906130832e-06
mc00456-001-bx0001-020-001,mc00456-001-bx0001-020-001,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.768549919128418,0.00022004995844326913,0.07720668613910675,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.00022004995844326913,0.14610157907009125,0.00022004995844326913
aspca-scrapbooks-bx0001-002-001_0_20191213_759,aspca-scrapbooks-bx0001-002-001_0_20191213_759,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.1365683376789093,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.09326712787151337,0.00036922103026881814,0.00036922103026881814,0.7565033435821533,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814,0.00036922103026881814
mc00344-001-bx0001_5-001-000,mc00344-001-bx0001_5-001-000,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,0.13820447027683258,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,0.0003254566981922835,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,2.835302075254731e-05,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,0.48808425664901733,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,4.0869667827792e-07,0.3733431398868561
